movie_title,genre,MPAA_rating,total_gross,adjusted_gross,year
The Last Shot,Comedy,R,463730,629502,2004
Ladder 49,Action,PG-13,74541707,101161045,2004
The Incredibles,Adventure,PG,261441092,354488708,2004
National Treasure,Adventure,PG,173005002,234069353,2004
The Life Aquatic with Steve Zissou,Comedy,R,24006726,32198655,2004
Aliens of the Deep,Documentary,G,8968684,11740942,2005
Pooh's Heffalump Movie,Adventure,G,18098433,23801835,2005
The Pacifier,Comedy,PG,113006880,148619029,2005
Ice Princess,Comedy,G,24381334,32064685,2005
A Lot Like Love,Comedy,PG-13,21835784,28716947,2005
The Hitchhiker's Guide to the Galaxy,Comedy,PG,51019112,67096891,2005
Hauru no ugoku shiro,Adventure,PG,4710455,6194870,2005
Herbie: Fully Loaded,Comedy,G,66010682,86812798,2005
Dark Water,Thriller/Suspense,PG-13,25473093,33500491,2005
Sky High,Adventure,PG,63939454,84088854,2005
Valiant,Adventure,G,19478106,25616292,2005
Flightplan,Thriller/Suspense,PG-13,89706988,117960425,2005
The Greatest Game Ever Played,Drama,PG,15331289,20162672,2005
Shopgirl,Drama,R,10284523,13519621,2005
Chicken Little,Adventure,G,135386665,177954661,2005
"The Chronicles of Narnia: The Lion, t…",Adventure,PG,291710957,381557539,2005
Casanova,Drama,R,11304403,14574087,2005
Glory Road,Drama,PG,42647449,54888236,2006
Annapolis,Drama,PG-13,17127992,22044113,2006
Roving Mars,Documentary,G,10407978,12948025,2006
Eight Below,Adventure,PG,81612565,105037235,2006
The Shaggy Dog,Comedy,PG,61123569,78667428,2006
Stay Alive,Horror,PG-13,23086480,29712825,2006
The Wild,Adventure,G,37384046,48114115,2006
Stick It,Comedy,PG-13,26910736,34634731,2006
Goal! The Dream Begins,Drama,PG,4283255,5512647,2006
Cars,Comedy,G,244082982,314140384,2006
Pirates of the Caribbean: Dead Man’…,Adventure,PG-13,423315812,544817142,2006
Step Up,Drama,PG-13,65328121,84078780,2006
Invincible,Drama,PG,57806952,74398864,2006
The Guardian,Action,PG-13,55011732,70801353,2006
The Prestige,Thriller/Suspense,PG-13,53089891,68289913,2006
Tim Burton's The Nightmare Before Chr…,Musical,PG,24732041,30737517,2006
The Santa Clause 3: The Escape Clause,Comedy,G,84500122,108694869,2006
Déjà Vu,Thriller/Suspense,PG-13,64038616,82267038,2006
Apocalypto,Adventure,R,50866635,64959548,2006
Primeval,Adventure,R,10597734,12985302,2007
Bridge to Terabithia,Drama,PG,82234139,100760721,2007
Wild Hogs,Comedy,PG-13,168213584,206110533,2007
Meet the Robinsons,Adventure,G,97822171,119860589,2007
The Lookout,Drama,R,4600585,5637048,2007
The Hoax,Drama,R,7164995,8779196,2007
The Invisible,Thriller/Suspense,PG-13,20568319,25202168,2007
Pirates of the Caribbean: At World’…,Adventure,PG-13,309420425,379129960,2007
Ratatouille,Comedy,G,206445654,252955933,2007
Underdog,Adventure,PG,43760605,53619462,2007
The Game Plan,Comedy,PG,90648202,111010758,2007
Dan in Real Life,Romantic Comedy,PG-13,47642963,58350234,2007
Enchanted,Romantic Comedy,PG,127706877,156074310,2007
National Treasure 2: Book of Secrets,Adventure,PG,219961501,267003525,2007
Hannah Montana/Miley Cyrus: Best of B…,Concert/Performance,G,65281781,76646993,2008
Step Up 2 the Streets,Drama,PG-13,58017783,68118371,2008
College Road Trip,Comedy,G,45610425,53550960,2008
The Chronicles of Narnia: Prince Caspian,Adventure,PG,141621490,166277038,2008
WALL-E,Adventure,G,223808164,262771918,2008
Swing Vote,Comedy,PG-13,16289867,19125841,2008
Goal! 2: Living the Dream...,Drama,PG-13,225067,264247,2008
Miracle at St. Anna,Drama,R,7916887,9295171,2008
Beverly Hills Chihuahua,Comedy,PG,94514402,110932022,2008
Morning Light,Documentary,PG,275093,322979,2008
High School Musical 3: Senior Year,Musical,G,90559416,106308538,2008
Bolt,Comedy,PG,114053759,133702498,2008
Bedtime Stories,Comedy,PG,110101975,128039679,2008
